"Nombres","","",""
"Nombre","Sexo","Origen y Comentarios",""
"Agripina","F","ORIGEN:LATINO---SIGNIFICADO:DEL LATIN""AGRIPPINUS"" PERTENECIENTE A...ODESCENDIENTE DE AGRIPA,EL QUE NACE CON LOS PIES PARA AFUERA,NOMBRE FA-MILIAR CUYO PRIMER ELEMENTO CORRESPONDE AL AVESTICO AGRO ""PRIMERO"" Y",""
"Agripino","M","",""
"Aguaclara","F","",""
"Agueda","F","ORIGEN:GRIEGO---SIGNIFICADO:BUENA,LA VIRTUOSA,VIRGEN SICILIANA DEL SIGLO III,MARTIRIZADA EN CATANIA---NOMBRE:COMUN---GENERO: FEMENINO",""
"Aguri","M","",""
"Agusti","M","",""
"Agustin","M","",""
"Agustina","F","",""
"Agustino","M","",""
"Aharon","M","",""
"Ahava","F","",""
"Ahearn","M","",""
"Ahian","M","",""
"Ahilton","M","",""
"Ahmad","M","",""
"Ahmed","M","",""
"Ahmik","M","",""
"Aiad","A","",""
"Aiako","F","",""
"Aiala","F","",""
"Aicardo","M","",""
"Aicha","F","",""
"Aida","F","ORIGEN:LATINO---SIGNIFICADO: LA QUE VIENE DE FAMILIA DISTINGUIDA,NOM-BRE FORJADO POR EL LIBRETISTA PIAVE (1869) PARA LA PROTAGONISTA DE LAHOMONIMA OPERA DE VERDI---NOMBRE:COMUN---GENERO:FEMENINO",""
"Aidan","M","",""
"Aidano","M","",""
"Aide","F","",""
"Aiel","M","",""
"Aielet","F","",""
"Aien","A","",""
"Aigulfo","M","",""
"Aike","A","",""
"Aiken","F","",""
"Aiko","F","",""
"Aila","F","",""
"Aileen","F","",""
"Ailen","F","",""
"Ailin","F","",""
"Ailish","F","",""
"Ailla","F","",""
"Ailsa","F","",""
"Aimar","M","",""
"Aimara","F","",""
"Aimardo","M","",""
"Aime","F","",""
"Aimee","F","",""
"Aimery","M","",""
"Aimi","F","",""
"Aimie","F","",""
"Ain","A","",""
"Aina","F","",""
"Ainao","A","",""
"Ainara","F","",""
"Aine","F","",""
"Ainhoa","F","",""
"Ainsley","F","",""
"Ainslie","M","",""
"Aiosha","M","",""
"Airlia","F","",""
"Aischa","F","",""
"Aisha","F","",""
"Aisling","F","",""
"Aislinn","F","",""
"Aissatou","F","",""
"Aitalas","M","",""
"Aitana","F","",""
"Aitiana","F","",""
"Aitor","M","",""
"Babet","F","",""
"Babette","F","",""
"Babilas","M","",""
"Bachar","F","",""
"Baco","M","",""
"Badda","F","",""
"Bademo","M","",""
"Bader","M","",""
"Badiha","F","",""
"Badir","M","",""
"Badra","F","",""
"Bahari","M","",""
"Bahia","F","",""
